,Product_ID,Product_Name,Category,Price,Quantity_Sold,Brand,Release_Year,Ratings
65,140,Smart Doorbell,Storage,1386.46,170.0,Breville,2019,4.4
66,102,Bluetooth Adapter,Accessories,828.72,160.0,Apple,2019,4.6
67,113,External Hard Drive,Storage,120.0,,Seagate,2019,
68,193,RAM,Wearable,608.9,106.0,Blue Yeti,2019,3.9
69,146,Toaster,Home Appliances,500.0,75.0,Cuisinart,2019,4.7
70,140,Drawing Tablet,Accessories,150.0,90.0,Wacom,2019,4.1
71,132,Portable Speaker,Audio,220.0,65.0,Bose,2019,4.3
72,103,Tablet,Electronics,400.0,80.0,Samsung,2019,4.3
73,128,Tripod,Photography,100.0,90.0,Manfrotto,2019,4.5
74,270,Microwave,Storage,1036.11,150.0,Nikon,2019,4.5
75,266,E-Reader,Photography,266.87,453.0,Apple,2019,4.9
76,172,Wireless Charger,Electronics,1262.85,228.0,Garmin,2020,4.9
77,102,Smartphone,Electronics,800.0,100.0,Apple,2020,4.7
78,122,RAM,Computer Components,150.0,45.0,Corsair,2020,4.0
79,134,Webcam,Networking,1137.86,106.0,Apple,2020,3.7
80,279,Smart Refrigerator,Photography,957.41,270.0,LG,2020,
81,112,Camera,Photography,700.0,40.0,Nikon,2020,4.7
82,286,USB Flash Drive,Audio,1012.2,117.0,HP,2020,3.9
83,118,Power Bank,Accessories,35.0,200.0,Anker,2020,3.9
84,143,Robot Vacuum,Home Appliances,100.0,95.0,iRobot,2020,4.2
85,139,Bluetooth Adapter,Accessories,110.0,45.0,TP-Link,2020,4.0
86,151,Speaker,Networking,572.21,265.0,iRobot,2020,3.7
87,134,Webcam,Accessories,90.0,55.0,Logitech,2020,4.6
88,274,Wireless Charger,Networking,891.16,348.0,Sony,2020,4.1
89,129,Streaming Device,Streaming,120.0,50.0,Roku,2020,4.2
90,106,Gaming Console,Gaming,500.0,75.0,Microsoft,2020,4.8
91,148,Washing Machine,Home Appliances,350.0,80.0,LG,2020,4.2
92,193,Robot Vacuum,Storage,845.99,343.0,Fitbit,2021,4.7
93,133,Toaster,Office Supplies,1035.5,319.0,Seagate,2021,3.5
94,168,External Hard Drive,Storage,1214.22,63.0,Nikon,2021,4.6
95,101,Laptop,Electronics,1200.0,50.0,Dell,2021,4.5
96,122,Microphone,Office Supplies,688.68,362.0,TP-Link,2021,4.3
97,130,E-Reader,Electronics,250.0,200.0,Amazon,2021,4.7
98,120,Graphics Card,Computer Components,400.0,,NVIDIA,2021,
99,117,Projector,Office Supplies,850.0,30.0,Epson,2021,4.1
100,141,Coffee Maker,Home Appliances,180.0,35.0,Keurig,2021,4.3
101,114,Router,Networking,90.0,85.0,TP-Link,2021,4.5
102,134,USB Flash Drive,Office Supplies,540.78,456.0,Xbox,2021,4.4
103,129,Gaming Console,Photography,209.78,241.0,Bose,2021,
104,175,Microphone,Networking,1207.45,344.0,HP,2021,3.6
105,111,Speaker,Audio,200.0,130.0,JBL,2021,4.6
106,252,VR Headset,Smart Home,524.19,293.0,Dyson,2021,4.3
107,135,Smart Light,Smart Home,200.0,60.0,Philips,2021,4.2
108,105,Smartwatch,Electronics,300.0,120.0,Fitbit,2021,4.6
109,138,Drawing Tablet,Smart Home,159.28,321.0,Ring,2021,4.6
110,145,Blender,Home Appliances,400.0,110.0,Ninja,2021,
111,124,SSD,Storage,180.0,70.0,Kingston,2022,4.6
112,133,Game Controller,Gaming,55.0,140.0,Xbox,2022,4.1
113,258,Portable Speaker,Electronics,1208.11,100.0,DJI,2022,4.5
114,103,Drawing Tablet,Smart Home,1017.76,302.0,Ninja,2022,4.2
115,137,Fitness Band,Wearable,150.0,,Garmin,2022,4.9
116,111,External Hard Drive,Wearable,108.41,442.0,LG,2022,3.6
117,232,Toaster,Office Supplies,1395.42,318.0,TP-Link,2022,4.4
118,116,Smart TV,Electronics,1000.0,55.0,Samsung,2022,4.4
119,110,Printer,Office Supplies,150.0,110.0,Canon,2022,4.3
120,138,Monitor,Accessories,1439.31,386.0,Apple,2022,3.9
121,104,Headphones,Accessories,100.0,200.0,Sony,2022,4.2
122,120,Cooling Pad,Storage,982.38,294.0,Apple,2022,4.4
123,125,Webcam,Networking,730.56,151.0,Sony,2022,4.1
124,185,Motherboard,Photography,744.98,247.0,Breville,2022,3.6
125,220,Coffee Maker,Electronics,1294.88,441.0,Breville,2022,4.2
126,181,Electric Kettle,Photography,502.38,33.0,Cuisinart,2022,3.7
127,104,Blender,Audio,1423.44,51.0,Apple,2022,4.0
128,132,USB Flash Drive,Audio,562.55,75.0,Ninja,2022,4.9
129,144,Electric Kettle,Home Appliances,120.0,,Breville,2022,4.5
130,168,Router,Photography,1032.09,258.0,Samsung,2022,3.6
131,116,Smartwatch,Wearable,235.17,477.0,Ring,2022,3.7
132,282,Cooling Pad,Storage,1095.42,492.0,TP-Link,2022,3.5
133,252,Smart TV,Home Appliances,1295.23,16.0,Blue Yeti,2023,4.1
134,296,Fitness Band,Smart Home,952.35,287.0,Dyson,2023,4.0
135,204,Washing Machine,Accessories,806.92,247.0,Wacom,2023,
136,296,USB Flash Drive,Office Supplies,248.98,347.0,iRobot,2023,3.8
137,109,Smart Light,Gaming,1062.43,436.0,Logitech,2023,
138,126,Monitor,Electronics,737.47,372.0,Apple,2023,4.8
139,119,Smart Doorbell,Networking,1217.54,372.0,Breville,2023,4.5
140,149,Oven,Home Appliances,320.0,100.0,Bosch,2023,4.8
141,125,HDD,Storage,130.0,85.0,Western Digital,2023,4.8
142,142,Air Purifier,Home Appliances,220.0,60.0,Dyson,2023,4.6
143,164,Blender,Gaming,169.92,488.0,Garmin,2023,4.6
144,299,Smart Doorbell,Smart Home,976.03,169.0,Dell,2023,4.5
145,154,Smartphone,Wearable,1383.74,302.0,Canon,2023,4.6
146,136,Smart Doorbell,Smart Home,180.0,70.0,Ring,2023,4.8
147,119,VR Headset,Gaming,600.0,35.0,Oculus,2023,4.9
148,168,Smartwatch,Audio,756.07,426.0,Bose,2023,
